Study,Author,Organism,Age,Primary,Prop_sp,Sec_rich,Prim_rich,Jaccard,Soren,Disturbance,Isolation
58,Vallan,H,2,OG,0.178,15,45,0.154,0.267,A,1
58,Vallan,H,2,OG,0.265,15,34,0.225,0.367,A,1
58,Vallan,H,2,OG,0.296,15,27,0.235,0.381,A,1
58,Vallan,H,2,OG,0.478,15,23,0.407,0.579,A,1
58,Vallan,H,25,OG,0.356,28,45,0.281,0.438,A,1
58,Vallan,H,25,OG,0.559,28,34,0.442,0.613,A,1
58,Vallan,H,25,OG,0.481,28,27,0.31,0.473,A,1
58,Vallan,H,25,OG,0.478,28,23,0.275,0.431,A,1
2,Barlow,I,17,OG,0.700,84,90,0.568,0.724,C,1
7,Bowman,I,4,OG,0.133,10,15,0.087,0.16,S,2
7,Bowman,I,8,OG,0.133,11,15,0.083,0.154,S,2
7,Bowman,I,26,OG,0.800,25,15,0.429,0.6,S,2
8,Bragagnolo,I,65,OG,0.450,11,20,0.409,0.581,A,1
8,Bragagnolo,I,65,OG,0.421,11,19,0.364,0.533,A,1
8,Bragagnolo,I,65,OG,0.435,11,23,0.417,0.588,A,1
8,Bragagnolo,I,65,OG,0.368,11,19,0.304,0.467,A,1
8,Bragagnolo,I,65,OG,0.400,11,20,0.348,0.516,A,1
8,Bragagnolo,I,65,OG,0.368,11,19,0.304,0.467,A,1
8,Bragagnolo,I,65,OG,0.348,11,23,0.308,0.471,A,1
8,Bragagnolo,I,65,OG,0.316,11,19,0.25,0.4,A,1
8,Bragagnolo,I,65,OG,0.550,12,20,0.524,0.688,A,1
8,Bragagnolo,I,65,OG,0.474,12,19,0.409,0.581,A,1
8,Bragagnolo,I,65,OG,0.478,12,23,0.458,0.629,A,1
8,Bragagnolo,I,65,OG,0.526,12,19,0.476,0.645,A,1
8,Bragagnolo,I,65,OG,0.650,16,20,0.565,0.722,A,1
8,Bragagnolo,I,65,OG,0.526,16,19,0.4,0.571,A,1
8,Bragagnolo,I,65,OG,0.565,16,23,0.5,0.667,A,1
8,Bragagnolo,I,65,OG,0.632,16,19,0.522,0.686,A,1
13,DeVries,I,17.5,OG,0.711,82,97,0.627,0.771,C,1
23,Gillison,I,13,OG,0.588,23,34,0.541,0.702,C,2
26,Grove,I,32.5,OG,0.405,73,111,0.324,0.489,A,2
26,Grove,I,32.5,OG,0.361,73,97,0.259,0.412,A,2
26,Grove,I,32.5,OG,0.315,73,130,0.253,0.404,A,2
26,Grove,I,90,OG,0.550,116,111,0.367,0.537,A,2
26,Grove,I,90,OG,0.474,116,97,0.275,0.432,A,2
26,Grove,I,90,OG,0.462,116,130,0.323,0.488,A,2
26,Grove,I,90,OG,0.468,101,111,0.325,0.491,A,2
26,Grove,I,90,OG,0.433,101,97,0.269,0.424,A,2
26,Grove,I,90,OG,0.400,101,130,0.291,0.45,A,2
30,House,I,15,OG,0.357,27,28,0.222,0.364,A,1
30,House,I,15,OG,0.286,27,49,0.226,0.368,A,1
30,House,I,15,OG,0.250,26,28,0.149,0.259,A,1
30,House,I,15,OG,0.286,26,49,0.23,0.373,A,1
30,House,I,20,OG,0.321,23,28,0.214,0.353,A,1
30,House,I,20,OG,0.286,23,49,0.241,0.389,A,1
30,House,I,20,OG,0.357,21,28,0.256,0.408,A,1
30,House,I,20,OG,0.327,21,49,0.296,0.457,A,1
30,House,I,4,OG,0.357,25,28,0.233,0.377,A,1
30,House,I,4,OG,0.286,25,49,0.233,0.378,A,1
30,House,I,4,OG,0.321,20,28,0.231,0.375,A,1
30,House,I,4,OG,0.245,20,49,0.211,0.348,A,1
33,Klein,I,4,OG,0.182,12,44,0.167,0.286,C,1
41,Quintero,I,5,OG,0.738,54,65,0.676,0.807,C,1
41,Quintero,I,5,OG,0.815,54,54,0.688,0.815,C,1
41,Quintero,I,5,OG,0.776,54,58,0.672,0.804,C,1
41,Quintero,I,10,OG,0.815,58,65,0.757,0.862,C,1
41,Quintero,I,10,OG,0.944,58,54,0.836,0.911,C,1
41,Quintero,I,10,OG,0.862,58,58,0.758,0.862,C,1
41,Quintero,I,17,OG,0.785,56,65,0.729,0.843,C,1
41,Quintero,I,17,OG,0.815,56,54,0.667,0.8,C,1
41,Quintero,I,17,OG,0.828,56,58,0.727,0.842,C,1
45,Rinaldi,I,70,OG,0.262,56,103,0.205,0.34,P,1
46,Roth,I,24,OG,0.568,36,37,0.404,0.575,P,1
46,Roth,I,24,OG,0.590,36,39,0.442,0.613,P,1
46,Roth,I,24,OG,0.558,36,43,0.436,0.608,P,1
46,Roth,I,24,OG,0.541,36,37,0.377,0.548,P,1
46,Roth,I,24,OG,0.538,36,39,0.389,0.56,P,1
46,Roth,I,24,OG,0.395,36,43,0.274,0.43,P,1
47,Shahabuddin,I,5.5,OG,0.600,11,15,0.529,0.692,S,1
48,Silva,I,25,OG,0.427,69,89,0.317,0.481,A,2
59,Vasconcelos,I,1,OG,0.237,17,38,0.196,0.327,A,1
59,Vasconcelos,I,1,OG,0.206,17,34,0.159,0.275,A,1
59,Vasconcelos,I,10,OG,0.711,37,38,0.563,0.72,A,1
59,Vasconcelos,I,10,OG,0.706,37,34,0.511,0.676,A,1
59,Vasconcelos,I,13,OG,0.737,32,38,0.667,0.8,A,1
59,Vasconcelos,I,13,OG,0.765,32,34,0.65,0.788,A,1
60,Veddeler,I,5,OG,0.550,18,20,0.407,0.579,S,2
60,Veddeler,I,15,OG,0.700,25,20,0.452,0.622,S,2
60,Veddeler,I,30,OG,0.650,23,20,0.433,0.605,S,2
11,Castro-Luna,M,3,OG,0.720,23,25,0.6,0.75,S,1
11,Castro-Luna,M,8,OG,0.600,16,25,0.577,0.732,S,1
11,Castro-Luna,M,30,OG,0.840,25,25,0.724,0.84,S,1
15,Estrada,M,10,OG,0.308,10,26,0.286,0.444,A,1
15,Estrada,M,27.5,OG,0.423,12,26,0.407,0.579,A,1
17,Fimbel,M,8.5,OG,1.000,11,9,0.818,0.9,S,1
19,Garcia,M,7.5,OG,1.000,13,13,1,1,S,1
36,Medellin,M,13,OG,0.593,20,27,0.516,0.681,A,1
37,Medellin,M,6,OG,0.800,25,25,0.667,0.8,S,1
39,Parry,M,15.5,OG,0.545,11,11,0.375,0.545,P,1
51,Sorensen,M,10,OG,0.000,0,3,0,0,A,2
51,Sorensen,M,14,OG,0.000,0,3,0,0,A,2
51,Sorensen,M,25,OG,0.333,1,3,0.333,0.5,A,2
51,Sorensen,M,30,OG,0.667,2,3,0.667,0.8,A,2
51,Sorensen,M,80,OG,1.000,3,3,1,1,A,2
51,Sorensen,M,90,OG,1.000,3,3,1,1,A,2
51,Sorensen,M,140,OG,1.000,3,3,1,1,A,2
51,Sorensen,M,150,OG,1.000,3,3,1,1,A,2
51,Sorensen,M,100,OG,1.000,3,3,1,1,A,2
51,Sorensen,M,100,OG,1.000,3,3,1,1,A,2
51,Sorensen,M,60,OG,0.667,2,3,0.667,0.8,A,2
51,Sorensen,M,60,OG,0.667,2,3,0.667,0.8,A,2
54,Thomas,M,22.5,OG,1.000,7,6,0.857,0.923,S,1
62,Wijesinghe,M,5,OG,0.375,6,8,0.273,0.429,A,1
63,Wu,M,13,OG,0.500,7,4,0.222,0.364,C,1
