"","Study","Site","Tran_AGB","Prop_AGB","Age","Type","Disturbance","AGB_Ref","Height","Wood_grav","Allometry"
"199","Cifuentes Jara 2008","Cifuentes Jara 2008at",-3.921452095717,0.0388548057259714,0.5,"Wet","Pasture","440.1","Yes","Yes","General"
"200","Cifuentes Jara 2008","Cifuentes Jara 2008au",-2.29597947291333,0.182912974324017,10,"Wet","Pasture","440.1","Yes","Yes","General"
"201","Cifuentes Jara 2008","Cifuentes Jara 2008av",-1.98517738092851,0.241536014542149,15,"Wet","Pasture","440.1","Yes","Yes","General"
"202","Cifuentes Jara 2008","Cifuentes Jara 2008aw",-1.34173045111244,0.414451261077028,19,"Wet","Pasture","440.1","Yes","Yes","General"
"203","Cifuentes Jara 2008","Cifuentes Jara 2008ax",-1.6151748493544,0.331742785730516,20,"Wet","Pasture","440.1","Yes","Yes","General"
"204","Cifuentes Jara 2008","Cifuentes Jara 2008ay",-1.16297188158524,0.476255396500795,20,"Wet","Pasture","440.1","Yes","Yes","General"
"205","Cifuentes Jara 2008","Cifuentes Jara 2008az",-1.22471663584466,0.454214951147466,30,"Wet","Pasture","440.1","Yes","Yes","General"
"206","Cifuentes Jara 2008","Cifuentes Jara 2008ba",-1.28995733850342,0.431720063621904,35,"Wet","Pasture","440.1","Yes","Yes","General"
"207","Cifuentes Jara 2008","Cifuentes Jara 2008bb",-0.910095810942487,0.573960463531016,40,"Wet","Pasture","440.1","Yes","Yes","General"
"208","Cifuentes Jara 2008","Cifuentes Jara 2008bc",-1.02570672367955,0.527834583049307,50,"Wet","Pasture","440.1","Yes","Yes","General"
"209","Brearley et al 2004","Brearley et al 2004a",-0.539501423742657,0.736607142857143,55,"Wet","Shifting agriculture","89.6","Yes","No","General"
"210","Alves et al 2003","Alves et al 2003a",-3.89859998509601,0.0397350993377483,2,"Wet","Arable agriculture","453","Yes","No","General"
"211","Alves et al 2003","Alves et al 2003b",-2.10959457985052,0.216335540838852,3,"Wet","Arable agriculture","453","Yes","No","General"
"212","Alves et al 2003","Alves et al 2003d",-2.09820381813536,0.218543046357616,5,"Wet","Arable agriculture","453","Yes","No","General"
"213","Alves et al 2003","Alves et al 2003f",-1.69111594344837,0.311258278145695,11,"Wet","Pasture","453","Yes","No","General"
"214","Alves et al 2003","Alves et al 2003g",-1.16141318990714,0.47682119205298,16,"Wet","Pasture","453","Yes","No","General"
"215","Gehring et al 2005","Gehring et al 2005a",-4.21714927367005,0.02905295404814,2,"Moist","Shifting agriculture","457","Yes","Yes","General"
"216","Gehring et al 2005","Gehring et al 2005b",-2.75037779482692,0.120130634573304,3,"Moist","Shifting agriculture","457","Yes","Yes","General"
"217","Gehring et al 2005","Gehring et al 2005c",-2.30610643112652,0.181236980306346,3,"Moist","Shifting agriculture","457","Yes","Yes","General"
"218","Gehring et al 2005","Gehring et al 2005d",-1.94522111173391,0.250150765864333,3,"Moist","Shifting agriculture","457","Yes","Yes","General"
"219","Gehring et al 2005","Gehring et al 2005e",-2.20685803180368,0.198272647702407,5,"Moist","Shifting agriculture","457","Yes","Yes","General"
"220","Gehring et al 2005","Gehring et al 2005f",-1.86901446194353,0.267311597374179,7,"Moist","Shifting agriculture","457","Yes","Yes","General"
"221","Gehring et al 2005","Gehring et al 2005g",-1.57577912390336,0.34278818380744,8,"Moist","Shifting agriculture","457","Yes","Yes","General"
"222","Gehring et al 2005","Gehring et al 2005h",-1.68196994309161,0.313669584245077,10,"Moist","Shifting agriculture","457","Yes","Yes","General"
"223","Gehring et al 2005","Gehring et al 2005i",-1.54585173379575,0.351372428884026,10,"Moist","Shifting agriculture","457","Yes","Yes","General"
"224","Gehring et al 2005","Gehring et al 2005j",-1.26098945252853,0.441607221006565,18,"Moist","Shifting agriculture","457","Yes","Yes","General"
"225","Gehring et al 2005","Gehring et al 2005k",-1.32601589456596,0.41963829321663,20,"Moist","Shifting agriculture","457","Yes","Yes","General"
"226","Gehring et al 2005","Gehring et al 2005l",-1.18621450486223,0.467873304157549,12,"Moist","Shifting agriculture","457","Yes","Yes","General"
"227","Gehring et al 2005","Gehring et al 2005m",-1.1766417008086,0.471313129102845,25,"Moist","Shifting agriculture","457","Yes","Yes","General"
"228","Gehring et al 2005","Gehring et al 2005n",-3.1136769015097,0.0850932166301969,4,"Moist","Shifting agriculture","457","Yes","Yes","General"
"229","Gehring et al 2005","Gehring et al 2005o",-3.1598216472184,0.0814120350109409,7,"Moist","Shifting agriculture","457","Yes","Yes","General"
"230","Marín-Spiotta et al 2007","Marín-Spiotta et al 2007a",-1.70988069546495,0.30635838150289,10,"Wet","Pasture","173","No","No","General"
"231","Marín-Spiotta et al 2007","Marín-Spiotta et al 2007b",-0.446583355037637,0.780346820809249,20,"Wet","Pasture","173","No","No","General"
"232","Marín-Spiotta et al 2007","Marín-Spiotta et al 2007c",-0.942741917961325,0.560693641618497,30,"Wet","Pasture","173","No","No","General"
"233","Marín-Spiotta et al 2007","Marín-Spiotta et al 2007d",0.0925515573652451,1.04624277456647,60,"Wet","Pasture","173","No","No","General"
"234","Marín-Spiotta et al 2007","Marín-Spiotta et al 2007e",1.30173697309183,1.57225433526012,80,"Wet","Pasture","173","No","No","General"
"235","Letcher et al 2009","Letcher et al 2009a",-1.692815021615,0.310811992040244,10,"Wet","Pasture","163.4428571","Yes","Yes","General"
"236","Letcher et al 2009","Letcher et al 2009b",-0.57906863966702,0.718293855620565,10,"Wet","Pasture","163.4428571","Yes","Yes","General"
"237","Letcher et al 2009","Letcher et al 2009c",-0.967768135934702,0.550651167000433,10,"Wet","Pasture","163.4428571","Yes","Yes","General"
"238","Letcher et al 2009","Letcher et al 2009d",-0.823602130261477,0.60999912611048,11,"Wet","Pasture","163.4428571","Yes","Yes","General"
"239","Letcher et al 2009","Letcher et al 2009e",-2.12101427443989,0.214142120500168,11,"Wet","Pasture","163.4428571","Yes","Yes","General"
"240","Letcher et al 2009","Letcher et al 2009f",-3.00698596644005,0.0942225330200741,14,"Wet","Pasture","163.4428571","Yes","Yes","General"
"241","Letcher et al 2009","Letcher et al 2009g",-0.699512657578671,0.663840573550522,16,"Wet","Shifting agriculture","163.4428571","Yes","Yes","General"
"242","Letcher et al 2009","Letcher et al 2009h",-0.0605026723508397,0.969757888550763,18,"Wet","Pasture","163.4428571","Yes","Yes","General"
"243","Letcher et al 2009","Letcher et al 2009i",-0.427877258678131,0.789266672700621,18,"Wet","Pasture","163.4428571","Yes","Yes","General"
"244","Letcher et al 2009","Letcher et al 2009j",-0.783503710833215,0.627130495750493,18,"Wet","Pasture","163.4428571","Yes","Yes","General"
"245","Letcher et al 2009","Letcher et al 2009k",-2.6436082297736,0.132768114710104,19,"Wet","Pasture","163.4428571","Yes","Yes","General"
"246","Letcher et al 2009","Letcher et al 2009l",-0.335243697977219,0.833930600690656,19,"Wet","Pasture","163.4428571","Yes","Yes","General"
"247","Letcher et al 2009","Letcher et al 2009m",0.766703885610173,1.36561489416107,21,"Wet","Pasture","163.4428571","Yes","Yes","General"
"248","Letcher et al 2009","Letcher et al 2009n",-0.549945261898835,0.731754217480575,23,"Wet","Pasture","163.4428571","Yes","Yes","General"
"249","Letcher et al 2009","Letcher et al 2009o",-0.601737274246228,0.707892666910557,24,"Wet","Pasture","163.4428571","Yes","Yes","General"
"250","Letcher et al 2009","Letcher et al 2009p",-0.169797570125436,0.91530460648072,24,"Wet","Pasture","163.4428571","Yes","Yes","General"
"251","Letcher et al 2009","Letcher et al 2009q",-0.504071987987224,0.753168429530592,25,"Wet","Pasture","163.4428571","Yes","Yes","General"
"252","Letcher et al 2009","Letcher et al 2009r",1.35769622629553,1.59077003800125,27,"Wet","Pasture","163.4428571","Yes","Yes","General"
"253","Letcher et al 2009","Letcher et al 2009s",3.01480163419748,1.9064767070815,32,"Wet","Pasture","163.4428571","Yes","Yes","General"
"254","Letcher et al 2009","Letcher et al 2009t",0.209485761608114,1.10436150715087,34,"Wet","Pasture","163.4428571","Yes","Yes","General"
"255","Letcher et al 2009","Letcher et al 2009u",0.0570034566054431,1.02849401303081,35,"Wet","Pasture","163.4428571","Yes","Yes","General"
"256","Letcher et al 2009","Letcher et al 2009v",1.23612365065623,1.54977711779122,42,"Wet","Pasture","163.4428571","Yes","Yes","General"
"257","Letcher et al 2009","Letcher et al 2009w",1.20138014482878,1.53754042519121,44,"Wet","Pasture","163.4428571","Yes","Yes","General"
"258","Nadkarni et al 2004","Nadkarni et al 2004a",-1.7031815437467,0.308100387675984,25,"Montane","Pasture","490.1","No","No","Local"
"259","Saldarriaga et al 1988","Saldarriaga et al 1988a",-2.36248588329757,0.172156862745098,9,"Moist","Shifting agriculture","255","Yes","Yes","Local"
"260","Saldarriaga et al 1988","Saldarriaga et al 1988b",-2.15649884647344,0.207450980392157,11,"Moist","Shifting agriculture","255","Yes","Yes","Local"
"261","Saldarriaga et al 1988","Saldarriaga et al 1988c",-1.65531313254688,0.32078431372549,12,"Moist","Shifting agriculture","255","Yes","Yes","Local"
"262","Saldarriaga et al 1988","Saldarriaga et al 1988d",-2.14599698812955,0.209411764705882,14,"Moist","Shifting agriculture","255","Yes","Yes","Local"
"263","Saldarriaga et al 1988","Saldarriaga et al 1988e",-1.63363264102116,0.326666666666667,20,"Moist","Shifting agriculture","255","Yes","Yes","Local"
"264","Saldarriaga et al 1988","Saldarriaga et al 1988f",-1.98687150668638,0.241176470588235,20,"Moist","Shifting agriculture","255","Yes","Yes","Local"
"265","Saldarriaga et al 1988","Saldarriaga et al 1988g",-1.94501409164769,0.250196078431373,20,"Moist","Shifting agriculture","255","Yes","Yes","Local"
"266","Saldarriaga et al 1988","Saldarriaga et al 1988h",-1.44111625872376,0.382745098039216,20,"Moist","Shifting agriculture","255","Yes","Yes","Local"
"267","Saldarriaga et al 1988","Saldarriaga et al 1988i",-2.13765784268255,0.210980392156863,30,"Moist","Shifting agriculture","255","Yes","Yes","Local"
"268","Saldarriaga et al 1988","Saldarriaga et al 1988j",-1.30261354507743,0.427450980392157,35,"Moist","Shifting agriculture","255","Yes","Yes","Local"
"269","Saldarriaga et al 1988","Saldarriaga et al 1988k",-1.3143208614948,0.423529411764706,35,"Moist","Shifting agriculture","255","Yes","Yes","Local"
"270","Saldarriaga et al 1988","Saldarriaga et al 1988l",-0.791882021245634,0.623529411764706,40,"Moist","Shifting agriculture","255","Yes","Yes","Local"
"271","Saldarriaga et al 1988","Saldarriaga et al 1988m",-1.22276071819157,0.454901960784314,60,"Moist","Shifting agriculture","255","Yes","Yes","Local"
"272","Saldarriaga et al 1988","Saldarriaga et al 1988n",-0.462999461802165,0.772549019607843,60,"Moist","Shifting agriculture","255","Yes","Yes","Local"
"273","Saldarriaga et al 1988","Saldarriaga et al 1988o",-0.991640169115942,0.541176470588235,60,"Moist","Shifting agriculture","255","Yes","Yes","Local"
"274","Saldarriaga et al 1988","Saldarriaga et al 1988p",-1.03174934343898,0.525490196078431,80,"Moist","Shifting agriculture","255","Yes","Yes","Local"
"275","Saldarriaga et al 1988","Saldarriaga et al 1988q",-0.623351418624403,0.698039215686274,80,"Moist","Shifting agriculture","255","Yes","Yes","Local"
"276","Saldarriaga et al 1988","Saldarriaga et al 1988r",-0.932820033825366,0.564705882352941,80,"Moist","Shifting agriculture","255","Yes","Yes","Local"
"277","Saldarriaga et al 1988","Saldarriaga et al 1988s",-0.95225588056767,0.556862745098039,80,"Moist","Shifting agriculture","255","Yes","Yes","Local"
"278","Sierra et al 2007","Sierra et al 2007a",-4.41589447051045,0.0238789346246973,2,"Moist","Pasture","247.8","Yes","No","Local"
"279","Sierra et al 2007","Sierra et al 2007b",-3.89941450228734,0.0397033898305085,2,"Moist","Pasture","247.8","Yes","No","Local"
"280","Sierra et al 2007","Sierra et al 2007c",-3.72275347869637,0.0471941081517353,2,"Moist","Pasture","247.8","Yes","No","Local"
"281","Sierra et al 2007","Sierra et al 2007d",-3.80077881560831,0.043729217110573,2,"Moist","Pasture","247.8","Yes","No","Local"
"282","Sierra et al 2007","Sierra et al 2007e",-4.12128241880414,0.0319293785310734,2,"Moist","Pasture","247.8","Yes","No","Local"
"283","Sierra et al 2007","Sierra et al 2007f",-4.39793947176698,0.0243062953995157,8,"Moist","Pasture","247.8","Yes","No","Local"
"284","Sierra et al 2007","Sierra et al 2007g",-3.80431335975495,0.0435782889426957,10,"Moist","Pasture","247.8","Yes","No","Local"
"285","Sierra et al 2007","Sierra et al 2007h",-4.47830700805401,0.0224503631961259,11,"Moist","Pasture","247.8","Yes","No","Local"
"286","Sierra et al 2007","Sierra et al 2007i",-3.86679824374626,0.0409927360774818,11,"Moist","Pasture","247.8","Yes","No","Local"
"287","Sierra et al 2007","Sierra et al 2007j",-3.52949117937846,0.0569693301049233,11,"Moist","Pasture","247.8","Yes","No","Local"
"288","Sierra et al 2007","Sierra et al 2007k",-3.67746068848107,0.0493268765133172,12,"Moist","Pasture","247.8","Yes","No","Local"
"289","Sierra et al 2007","Sierra et al 2007l",-4.02794640549852,0.034998385794996,12,"Moist","Pasture","247.8","Yes","No","Local"
"290","Sierra et al 2007","Sierra et al 2007m",-3.69632584891754,0.0484273607748184,12,"Moist","Pasture","247.8","Yes","No","Local"
"291","Sierra et al 2007","Sierra et al 2007n",-3.40390883501055,0.0643470540758676,13,"Moist","Pasture","247.8","Yes","No","Local"
"292","Sierra et al 2007","Sierra et al 2007o",-2.9548353874927,0.0990169491525424,12,"Moist","Pasture","247.8","Yes","No","Local"
"293","Sierra et al 2007","Sierra et al 2007p",-3.0111849762611,0.0938462469733656,13,"Moist","Pasture","247.8","Yes","No","Local"
"294","Sierra et al 2007","Sierra et al 2007q",-2.71240435692975,0.124490718321227,10,"Moist","Pasture","247.8","Yes","No","Local"
"295","Sierra et al 2007","Sierra et al 2007r",-2.44373505171323,0.15979580306699,11,"Moist","Pasture","247.8","Yes","No","Local"
"296","Sierra et al 2007","Sierra et al 2007s",-2.46754354365157,0.156330104923325,12,"Moist","Pasture","247.8","Yes","No","Local"
"297","Sierra et al 2007","Sierra et al 2007t",-2.66449712001366,0.130202179176755,12,"Moist","Pasture","247.8","Yes","No","Local"
"298","Sierra et al 2007","Sierra et al 2007u",-2.6039571175465,0.137768361581921,12,"Moist","Pasture","247.8","Yes","No","Local"
"299","Sierra et al 2007","Sierra et al 2007v",-2.65898714095819,0.130874495560936,14,"Moist","Pasture","247.8","Yes","No","Local"
"300","Sierra et al 2007","Sierra et al 2007w",-2.30755495296478,0.180998385794996,10,"Moist","Pasture","247.8","Yes","No","Local"
"301","Sierra et al 2007","Sierra et al 2007x",-2.32902628982113,0.177494753833737,11,"Moist","Pasture","247.8","Yes","No","Local"
"302","Sierra et al 2007","Sierra et al 2007y",-2.21446485795836,0.196918079096045,11,"Moist","Pasture","247.8","Yes","No","Local"
"303","Sierra et al 2007","Sierra et al 2007z",-2.23414152116386,0.193452380952381,12,"Moist","Pasture","247.8","Yes","No","Local"
"304","Sierra et al 2007","Sierra et al 2007aa",-2.17337238765712,0.204334543987086,12,"Moist","Pasture","247.8","Yes","No","Local"
"305","Sierra et al 2007","Sierra et al 2007ab",-2.14620870505982,0.20937207425343,13,"Moist","Pasture","247.8","Yes","No","Local"
"306","Sierra et al 2007","Sierra et al 2007ac",-2.09778858276644,0.21862389023406,13,"Moist","Pasture","247.8","Yes","No","Local"
"307","Sierra et al 2007","Sierra et al 2007ad",-2.19230645247064,0.200887005649718,13,"Moist","Pasture","247.8","Yes","No","Local"
"308","Sierra et al 2007","Sierra et al 2007ae",-2.32972509678874,0.177381759483454,12,"Moist","Pasture","247.8","Yes","No","Local"
"309","Sierra et al 2007","Sierra et al 2007af",-2.29456057099263,0.183148910411622,15,"Moist","Pasture","247.8","Yes","No","Local"
"310","Sierra et al 2007","Sierra et al 2007ag",-2.44541325550218,0.159549233252623,15,"Moist","Pasture","247.8","Yes","No","Local"
"311","Sierra et al 2007","Sierra et al 2007ah",-1.88622453835955,0.263351089588378,12,"Moist","Pasture","247.8","Yes","No","Local"
"312","Sierra et al 2007","Sierra et al 2007ai",-1.84325941524739,0.273332526230831,15,"Moist","Pasture","247.8","Yes","No","Local"
"313","Sierra et al 2007","Sierra et al 2007aj",-1.96404582788172,0.246059725585149,19,"Moist","Pasture","247.8","Yes","No","Local"
"314","Sierra et al 2007","Sierra et al 2007ak",-1.82262451914544,0.278238498789346,17,"Moist","Pasture","247.8","Yes","No","Local"
"315","Sierra et al 2007","Sierra et al 2007al",-1.66238355723168,0.318884584342211,13,"Moist","Pasture","247.8","Yes","No","Local"
"316","Sierra et al 2007","Sierra et al 2007am",-1.37904620182068,0.402324455205811,15,"Moist","Pasture","247.8","Yes","No","Local"
"317","Sierra et al 2007","Sierra et al 2007an",-1.51034948243155,0.361774011299435,16,"Moist","Pasture","247.8","Yes","No","Local"
"318","Sierra et al 2007","Sierra et al 2007ao",-1.62943637546764,0.327815173527038,19,"Moist","Pasture","247.8","Yes","No","Local"
"319","Sierra et al 2007","Sierra et al 2007ap",-1.57528210412461,0.342929378531073,20,"Moist","Pasture","247.8","Yes","No","Local"
"320","Sierra et al 2007","Sierra et al 2007aq",-1.26167529938278,0.441371267150928,23,"Moist","Pasture","247.8","Yes","No","Local"
"321","Ferreira et al 1999","Ferreira et al 1999a",-0.654067426634441,0.68414707655214,40,"Wet","Shifting agriculture","497.7","Yes","No","Local"
"322","Ferreira et al 1999","Ferreira et al 1999b",-0.0478290876898814,0.976090014064698,40,"Wet","Shifting agriculture","497.7","Yes","No","Local"
"323","Ferreira et al 1999","Ferreira et al 1999c",0.358212223257619,1.17721518987342,40,"Wet","Shifting agriculture","497.7","Yes","No","Local"
