"ID","Site","Depth","Disturbance","Age","Type","Measurement","Soil_C_Ref","Soil_C_Sec","Soil_type","proploss","proploss2","Prop","Ran"
"Guggenberger et al 1999","Guggenberger et al 1999a",50,"Shifting agriculture",3.5,"Wet","Soil carbon",288,284,"Andic-basaltic",-0.0138888888888889,-0.0277795641070756,0.986111111111111,"288"
"Guggenberger et al 1999","Guggenberger et al 1999b",50,"Shifting agriculture",12.5,"Wet","Soil carbon",288,300,"Andic-basaltic",0.0416666666666667,0.0833816089390512,1.04166666666667,"288"
"Guggenberger et al 1999","Guggenberger et al 1999c",50,"Shifting agriculture",18.5,"Wet","Soil carbon",288,324,"Andic-basaltic",0.125,0.251314428280906,1.125,"288"
"Cifuentes Jara 2008","Cifuentes Jara 2008a",100,"Pasture",9,"Dry","Soil carbon",124.2,84.8,"Entisol",-0.317230273752013,-0.657128881370789,0.682769726247987,"124.2"
"Cifuentes Jara 2008","Cifuentes Jara 2008b",100,"Pasture",10,"Dry","Soil carbon",124.2,60.7,"Entisol",-0.511272141706924,-1.12890124552701,0.488727858293076,"124.2"
"Cifuentes Jara 2008","Cifuentes Jara 2008c",100,"Pasture",10,"Dry","Soil carbon",124.2,52.3,"Entisol",-0.57890499194847,-1.32162836213142,0.42109500805153,"124.2"
"Cifuentes Jara 2008","Cifuentes Jara 2008d",100,"Pasture",14,"Dry","Soil carbon",124.2,138.6,"Entisol",0.115942028985507,0.232931557680372,1.11594202898551,"124.2"
"Cifuentes Jara 2008","Cifuentes Jara 2008f",100,"Pasture",16,"Dry","Soil carbon",124.2,208.8,"Entisol",0.681159420289855,1.66254773774805,1.68115942028986,"124.2"
"Cifuentes Jara 2008","Cifuentes Jara 2008g",100,"Pasture",17,"Dry","Soil carbon",124.2,77.8,"Entisol",-0.373590982286635,-0.785180203873233,0.626409017713366,"124.2"
"Cifuentes Jara 2008","Cifuentes Jara 2008h",100,"Pasture",22,"Dry","Soil carbon",124.2,101.8,"Entisol",-0.180354267310789,-0.364697685336129,0.819645732689211,"124.2"
"Cifuentes Jara 2008","Cifuentes Jara 2008i",100,"Pasture",26,"Dry","Soil carbon",124.2,188.8,"Entisol",0.520128824476651,1.1530326796401,1.52012882447665,"124.2"
"Cifuentes Jara 2008","Cifuentes Jara 2008j",100,"Pasture",27,"Dry","Soil carbon",124.2,171.1,"Entisol",0.377616747181964,0.794554225304771,1.37761674718196,"124.2"
"Cifuentes Jara 2008","Cifuentes Jara 2008k",100,"Pasture",82,"Dry","Soil carbon",124.2,172.5,"Entisol",0.388888888888889,0.82098055206983,1.38888888888889,"124.2"
"Cifuentes Jara 2008","Cifuentes Jara 2008l",100,"Pasture",0.42,"Moist","Soil carbon",93.6,142.4,"Alfisol",0.521367521367522,1.15643185955694,1.52136752136752,"93.6"
"Cifuentes Jara 2008","Cifuentes Jara 2008m",100,"Pasture",7,"Moist","Soil carbon",93.6,64.8,"Alfisol",-0.307692307692308,-0.635988766719997,0.692307692307692,"93.6"
"Cifuentes Jara 2008","Cifuentes Jara 2008n",100,"Pasture",7,"Moist","Soil carbon",93.6,174.3,"Alfisol",0.862179487179487,2.60355064115835,1.86217948717949,"93.6"
"Cifuentes Jara 2008","Cifuentes Jara 2008o",100,"Pasture",9,"Moist","Soil carbon",93.6,95.8,"Alfisol",0.0235042735042735,0.0470172065167109,1.02350427350427,"93.6"
"Cifuentes Jara 2008","Cifuentes Jara 2008p",100,"Pasture",13,"Moist","Soil carbon",93.6,169.2,"Alfisol",0.807692307692308,2.24070968927596,1.80769230769231,"93.6"
"Cifuentes Jara 2008","Cifuentes Jara 2008q",100,"Pasture",16,"Moist","Soil carbon",93.6,113.4,"Alfisol",0.211538461538462,0.429562659687225,1.21153846153846,"93.6"
