ID,Site,Disturbance,Age,Type,Tax,Prop,Prop2,lnRR,Proploss,Proploss2,Ran,Rich_Ref,Size,log_age,log_age_sq,Age_sq,Age_cu
Klanderaud et al 2009,Klanderaud et al 2009d,Shifting agriculture,19.5,Richness,Trees,0.133560908,0.083375509,-2.013197666,-0.866439092,-2.637230053,12.0986,12.0986,10,2.970414466,8.823362097,380.25,7414.875
Marín-Spiotta et al 2007,Marín-Spiotta et al 2007a,Pasture,10,Richness,Trees,0.218978102,0.136697264,-1.518783544,-0.781021898,-2.095970844,13.7,13.7,10,2.302585093,5.30189811,100,1000
Marín-Spiotta et al 2007,Marín-Spiotta et al 2007b,Pasture,20,Richness,Trees,0.605839416,0.378195763,-0.501140318,-0.394160584,-0.83343282,13.7,13.7,10,2.995732274,8.974411855,400,8000
Marín-Spiotta et al 2007,Marín-Spiotta et al 2007c,Pasture,30,Richness,Trees,0.416058394,0.259724801,-0.876929658,-0.583941606,-1.336846086,13.7,13.7,10,3.401197382,11.56814363,900,27000
Marín-Spiotta et al 2007,Marín-Spiotta et al 2007d,Pasture,60,Richness,Trees,1,0.624250838,0,0,0,13.7,13.7,10,4.094344562,16.76365739,3600,216000
Marín-Spiotta et al 2007,Marín-Spiotta et al 2007e,Pasture,80,Richness,Trees,1.408759124,0.879419063,0.342709263,0.408759124,0.868241034,13.7,13.7,10,4.382026635,19.20215743,6400,512000
Knight 1975,Knight 1975a,Pasture,15,Richness,Trees,0.862676056,0.538526251,-0.147716028,-0.137323944,-0.276394113,56.8,56.8,-9999,2.708050201,7.333535892,225,3375
Knight 1975,Knight 1975b,Pasture,50,Richness,Trees,1.461267606,0.912197527,0.379304282,0.461267606,0.997840599,56.8,56.8,-9999,3.912023005,15.30392399,2500,125000
Knight 1975,Knight 1975c,Pasture,65,Richness,Trees,1.091549296,0.681400562,0.087598059,0.091549296,0.183612713,56.8,56.8,-9999,4.17438727,17.42550908,4225,274625
Knight 1975,Knight 1975d,Pasture,65,Richness,Trees,0.968309859,0.604468241,-0.03220314,-0.031690141,-0.063401511,56.8,56.8,-9999,4.17438727,17.42550908,4225,274625
