Study,Site,Disturbance,Age,Type,Ref_Type,Ref_age,Country,Lat,Long
Eaton et al 2009,Eaton et al 2009f,Arable agriculture,5,Tropical dry forest,Primary forest,-9999,Mexico,18.42229,-89.391083
Eaton et al 2009,Eaton et al 2009g,Arable agriculture,5,Tropical dry forest,Primary forest,-9999,Mexico,18.42229,-89.391083
Eaton et al 2009,Eaton et al 2009h,Arable agriculture,5,Tropical dry forest,Primary forest,-9999,Mexico,18.42229,-89.391083
Eaton et al 2009,Eaton et al 2009i,Arable agriculture,5,Tropical dry forest,Primary forest,-9999,Mexico,18.42229,-89.391083
Eaton et al 2009,Eaton et al 2009j,Arable agriculture,5,Tropical dry forest,Primary forest,-9999,Mexico,18.42229,-89.391083
Read et al 2003,Read et al 2003d,Shifting agriculture,5,Tropical dry forest,Primary forest,-9999,Mexico,18.81666667,-89.38333333
Read et al 2003,Read et al 2003l,Shifting agriculture,5,Tropical dry forest,Primary forest,-9999,Mexico,18.45,-88.93333333
Read et al 2003,Read et al 2003m,Shifting agriculture,5,Tropical dry forest,Primary forest,-9999,Mexico,18.45,-88.93333333
Read et al 2003,Read et al 2003v,Shifting agriculture,5,Tropical dry forest,Primary forest,-9999,Mexico,17.88333333,-89.28333333
Read et al 2003,Read et al 2003w,Shifting agriculture,5,Tropical dry forest,Primary forest,-9999,Mexico,17.88333333,-89.28333333
Kennard et al 2002,Kennard et al 2002d,Shifting agriculture,5,Tropical dry forest,Primary forest,-9999,Bolivia,-16.75,-61.75
Becknell 2012,Becknell 2012A,Pasture,5,Tropical dry forest,Primary forest,-9999,Costa Rica,10.865676,-85.72673
Becknell 2012,Becknell 2012B,Pasture,5,Tropical dry forest,Primary forest,-9999,Costa Rica,10.865676,-85.72673
Becknell 2012,Becknell 2012C,Pasture,5,Tropical dry forest,Primary forest,-9999,Costa Rica,10.865676,-85.72673
Becknell 2012,Becknell 2012D,Pasture,5,Tropical dry forest,Primary forest,-9999,Costa Rica,10.865676,-85.72673
Becknell 2012,Becknell 2012E,Pasture,5,Tropical dry forest,Primary forest,-9999,Costa Rica,10.865676,-85.72673
Benavides et al 2006,Benavides et al 2006D,Shifting agriculture,5,Tropical rainforest,Primary forest,-9996,Brazil,-3,-69.5
Alves et al 2003,Alves et al 2003d,Arable agriculture,5,Tropical rainforest,Primary forest,-9999,Brazil,-10.31666667,-62.76666667
Eaton et al 2006,Eaton et al 2006f,Shifting agriculture,5,Tropical dry forest,Primary forest,-9999,Mexico,18.81666667,-89.45
Eaton et al 2006,Eaton et al 2006h,Shifting agriculture,5,Tropical dry forest,Primary forest,-9999,Mexico,18.81666667,-89.45
Eaton et al 2006,Eaton et al 2006i,Shifting agriculture,5,Tropical dry forest,Primary forest,-9999,Mexico,18.81666667,-89.45
Fujisaka et al 1997,Fujisaka et al 1997c,Shifting agriculture,5,Tropical rainforest,Primary forest,-9999,Brazil,-10.390572,-67.819427
